_id,username,followers_count,friends_count,favourites_count,statuses_count
5ed04a23682cbc70de4c4e5a,BC__Innovate,1267,4245,21016,13389
5ed04a25682cbc70de4c4e65,Msnisi09,14,101,80,27
5ed04a26682cbc70de4c4e70,footienut247,33,340,3204,3155
5ed04a28682cbc70de4c4e7b,Stallion_Team2,156128,156031,148950,333971
5ed04a2b682cbc70de4c4e91,ClimateChangePa,1886,2075,0,36736
5ed04a2c682cbc70de4c4e9c,hanibear93,1116,1269,17049,19629
5ed04a2e682cbc70de4c4ea7,2905jimjamy,173,1632,1208,2656
5ed04a2f682cbc70de4c4eb2,firstsite,12679,4390,6265,10604
5ed04a32682cbc70de4c4ec8,alxiba_afsana,3,178,677,213
5ed04a34682cbc70de4c4ed3,poupouch48,19385,496,275490,296718
5ed04a35682cbc70de4c4ede,chakaal28,250,503,8679,4110
5ed04a38682cbc70de4c4ef4,akotopam,164,0,169,8323
5ed04a3a682cbc70de4c4eff,DulceMarLoynaz,334,253,23149,18557
5ed04a3b682cbc70de4c4f0a,PolishRoyalGoat,9567,1928,114785,101405
5ed04a3e682cbc70de4c4f20,U2_News,16651,128,1722,26027
5ed04a4b682cbc70de4c4f2b,PolishRoyalGoat,9567,1928,114785,101405
5ed04a4c682cbc70de4c4f36,stevelwpalmer,235,264,2865,6105
5ed04a4e682cbc70de4c4f41,PolishRoyalGoat,9567,1928,114785,101405
5ed04a50682cbc70de4c4f4c,ChoicePremiums,106,323,131,488
5ed04a51682cbc70de4c4f57,PolishRoyalGoat,9567,1928,114785,101405
5ed04a53682cbc70de4c4f60,UnknownTuber1,8,225,6,8
5ed04a55682cbc70de4c4f6b,PolishRoyalGoat,9567,1928,114785,101405
5ed04a56682cbc70de4c4f76,LongwoodsNotes,2996,1515,51,6927
5ed04a58682cbc70de4c4f81,srt8982,188,692,305,3827
5ed04a59682cbc70de4c4f8c,kana_surfergirl,73,145,3702,1751
5ed04a5b682cbc70de4c4f97,nazifidawud,127,317,391,2682
5ed04a5f682cbc70de4c4fb8,JuveAcademyScot,530,663,1799,1097
5ed04a61682cbc70de4c4fc3,imstrawbella,31,67,200,106
5ed04a63682cbc70de4c4fc5,TempleD87626452,0,0,0,1
5ed04a64682cbc70de4c4fd0,Buzzfm897,1662,308,660,26172
5ed04a65682cbc70de4c4fdb,paulalameda,163,96,33,464
5ed04a67682cbc70de4c4fe6,Triteflower2020,219,326,6694,41040
5ed04a68682cbc70de4c4ff1,ObiCheChe1,358,1040,23994,5979
5ed04a6a682cbc70de4c4ffc,spaincultureus,152144,1231,4849,5915
5ed04a6b682cbc70de4c5007,fvsu_dining,496,676,16,3411
5ed04a6d682cbc70de4c5012,YunierViada,271,296,4628,11612
5ed04a6f682cbc70de4c501d,BussienJill,79,433,5683,10214
5ed04a71682cbc70de4c5028,bsudipta05x,921,2277,7206,220824
5ed04a72682cbc70de4c5033,bakagamiii,620,662,9816,10725
5ed04a74682cbc70de4c503e,SFZombie247,1150,1001,39683,163512
5ed04a76682cbc70de4c5049,Heavenlybot,7384,5932,209473,51106
5ed04a78682cbc70de4c5054,FloVilleminot,6320,496,2820,1334
5ed04a79682cbc70de4c505f,KelliherNHS,79,199,430,194
5ed04a7b682cbc70de4c506a,Warwickshire_CC,14586,835,2188,26165
5ed04a7d682cbc70de4c5075,UKtoUSmomma,322,678,24453,9610
5ed04a7e682cbc70de4c5080,bitrix24,4402,677,1012,6778
5ed04a80682cbc70de4c508b,SPJffrson,84,109,256,13873
5ed04a82682cbc70de4c5096,paragingle_GGMU,327,467,26587,49746
5ed04a83682cbc70de4c50a1,MaridelManaloXx,626,192,13317,91407
5ed04a85682cbc70de4c50ac,dromedarshop,21,100,18,25142
5ed04a87682cbc70de4c50b7,thecricketmen,440,381,814,2713
