len_emotion,len_word,len_emoji,len_hastag,extrointro
2,12,0,3,0
6,18,0,0,0
6,17,0,0,0
4,14,0,6,0
8,20,0,0,0
5,14,4,4,0
6,16,0,0,0
2,6,0,5,0
11,20,8,1,0
4,9,4,0,1
6,13,0,3,1
6,13,0,3,1
0,1,0,0,1
2,9,0,0,1
0,2,2,0,0
0,4,1,2,0
2,7,2,3,0
1,7,13,1,0
1,3,2,0,0
1,13,0,0,0
2,12,0,0,0
3,8,6,0,0
2,5,0,1,0
3,10,0,0,0
1,4,0,0,1
2,2,0,0,1
3,4,1,1,1
1,4,0,0,1
1,1,0,1,1
0,5,0,0,1
4,8,4,4,1
3,6,0,1,1
5,15,1,5,1
6,27,0,0,1
2,19,0,0,1
3,17,0,0,1
4,8,0,0,1
6,22,0,0,1
6,16,0,0,1
1,5,5,11,1
3,9,0,5,1
6,19,2,1,0
2,11,4,0,0
0,1,0,0,0
7,25,9,0,0
1,3,0,0,0
0,1,4,0,0
2,3,0,0,0
3,13,0,2,1
4,16,0,0,1
5,20,0,2,1
7,14,4,4,1
9,20,0,0,1
5,20,2,2,1
3,9,2,1,1
3,18,1,2,1
1,14,0,5,1
3,20,3,4,1
1,17,0,4,1
5,18,5,0,1
0,11,0,0,1
0,3,0,5,1
1,15,0,3,1
0,7,0,8,1
4,15,0,6,1
0,3,0,0,1
2,5,5,2,1
1,5,2,2,1
3,12,0,0,1
6,25,8,0,1
1,1,0,0,1
3,14,0,0,1
0,4,0,0,1
0,2,0,0,1
1,8,0,0,1
5,16,0,0,1
0,1,0,0,1
0,1,0,1,1
4,19,3,5,1
4,18,3,4,1
2,14,3,5,1
6,23,3,2,1
3,18,3,2,1
4,6,0,1,1
4,6,0,1,1
6,23,3,0,1
6,20,3,2,1
3,17,0,1,1
1,1,7,7,1
1,1,7,7,1
1,1,7,7,1
1,1,7,7,1
1,1,7,8,1
1,1,7,7,1
1,1,7,8,1
1,1,7,7,1
1,1,7,7,1
1,1,7,7,1
1,16,0,2,0
5,16,0,2,0
1,6,0,2,0
3,16,0,1,0
10,24,2,0,0
1,18,0,4,0
2,14,0,6,0
1,4,0,0,0
2,8,0,6,0
1,1,0,0,0
1,1,7,7,1
1,1,7,7,1
1,1,7,7,1
1,1,7,7,1
1,1,7,8,1
1,1,7,7,1
1,1,7,8,1
1,1,7,7,1
1,1,7,7,1
1,1,7,7,1
3,4,0,0,1
0,2,0,0,1
7,21,0,0,1
6,11,0,0,1
8,21,0,0,1
0,2,0,0,1
6,26,0,0,1
9,22,0,0,1
4,15,0,0,1
9,23,0,0,1
1,1,7,7,1
1,1,7,7,1
1,1,7,7,1
1,1,7,7,1
1,1,7,8,1
1,1,7,7,1
1,1,7,8,1
1,1,7,7,1
1,1,7,7,1
1,1,7,7,1
6,18,0,1,1
3,11,0,2,1
5,11,0,4,1
5,11,0,1,1
1,18,0,2,1
4,12,0,1,1
1,7,0,1,1
1,6,0,1,1
3,8,0,1,1
4,22,0,1,1
1,1,7,7,1
1,1,7,7,1
1,1,7,7,1
1,1,7,7,1
1,1,7,8,1
1,1,7,7,1
1,1,7,8,1
1,1,7,7,1
1,1,7,7,1
1,1,7,7,1
2,5,0,0,0
4,8,0,0,0
3,7,0,0,0
2,7,0,1,0
4,9,0,0,0
1,1,7,7,1
1,1,7,7,1
1,1,7,7,1
1,1,7,7,1
1,1,7,8,1
1,1,7,7,1
1,1,7,8,1
1,1,7,7,1
1,1,7,7,1
1,1,7,7,1
4,22,0,5,0
1,6,0,0,0
9,27,2,0,0
9,24,0,2,0
5,19,0,3,0
7,16,0,5,0
3,8,0,1,0
4,22,0,5,0
1,8,0,2,0
3,15,0,3,0
1,2,0,0,1
0,1,0,0,1
0,2,0,0,1
0,2,2,0,1
3,8,0,0,1
0,2,0,0,1
0,4,0,0,1
2,21,0,0,1
1,5,0,0,1
3,7,2,1,1
1,3,2,0,0
0,5,0,3,0
5,8,0,0,0
0,2,0,0,0
7,17,0,2,0
3,5,0,0,0
0,1,2,0,1
12,22,0,1,1
2,13,0,0,1
0,12,0,1,1
1,3,0,0,1
1,3,4,0,1
1,7,0,1,1
3,14,0,2,1
1,13,6,2,1
1,5,11,2,1
1,2,2,2,1
7,15,2,2,1
1,2,3,0,1
6,16,1,2,1
7,15,4,3,1
2,6,4,1,1
6,22,6,2,1
2,7,0,2,1
4,8,1,2,0
4,15,0,0,0
6,18,0,0,0
0,2,0,0,0
2,3,0,0,0
5,19,4,0,0
1,7,0,2,0
1,11,0,2,0
6,16,0,7,0
2,5,0,1,0
6,13,0,3,0
1,1,0,4,0
1,1,0,4,1
1,1,0,4,0
1,1,0,4,1
0,1,0,5,0
0,1,0,5,1
1,2,0,4,0
1,2,0,4,1
0,3,0,4,0
0,3,0,4,1
0,1,0,4,0
0,1,0,4,1
0,1,0,4,0
0,1,0,4,1
1,2,0,4,0
1,2,0,4,1
3,8,8,1,0
2,8,8,1,0
3,9,0,0,0
3,11,3,3,0
0,2,5,0,0
3,10,0,1,0
1,5,3,0,0
1,12,5,1,0
