len_word,len_emoji,len_hastag,extrointro,followers_count,friends_count,favourites_count,statuses_count
12,0,3,0,1267,4245,21016,13389
18,0,0,0,1267,4245,21016,13389
17,0,0,0,1267,4245,21016,13389
14,0,6,0,1267,4245,21016,13389
20,0,0,0,1267,4245,21016,13389
14,4,4,0,1267,4245,21016,13389
16,0,0,0,1267,4245,21016,13389
6,0,5,0,1267,4245,21016,13389
20,8,1,0,1267,4245,21016,13389
9,4,0,1,14,101,80,27
13,0,3,1,14,101,80,27
13,0,3,1,14,101,80,27
1,0,0,1,14,101,80,27
9,0,0,1,14,101,80,27
0,0,0,1,14,101,80,27
0,0,0,1,14,101,80,27
0,0,0,1,14,101,80,27
0,0,0,1,14,101,80,27
0,0,0,1,14,101,80,27
2,2,0,0,33,340,3204,3155
4,1,2,0,33,340,3204,3155
7,2,3,0,33,340,3204,3155
7,13,1,0,33,340,3204,3155
3,2,0,0,33,340,3204,3155
13,0,0,0,33,340,3204,3155
12,0,0,0,33,340,3204,3155
8,6,0,0,33,340,3204,3155
5,0,1,0,33,340,3204,3155
10,0,0,0,33,340,3204,3155
4,0,0,1,156128,156031,148950,333971
0,1,0,1,156128,156031,148950,333971
2,0,0,1,156128,156031,148950,333971
0,0,0,1,156128,156031,148950,333971
4,1,1,1,156128,156031,148950,333971
4,0,0,1,156128,156031,148950,333971
1,0,1,1,156128,156031,148950,333971
5,0,0,1,156128,156031,148950,333971
8,4,4,1,156128,156031,148950,333971
6,0,1,1,156128,156031,148950,333971
0,0,1,1,1886,2075,0,36736
15,1,5,1,1886,2075,0,36736
27,0,0,1,1886,2075,0,36736
19,0,0,1,1886,2075,0,36736
17,0,0,1,1886,2075,0,36736
8,0,0,1,1886,2075,0,36736
22,0,0,1,1886,2075,0,36736
16,0,0,1,1886,2075,0,36736
5,5,11,1,1886,2075,0,36736
9,0,5,1,1886,2075,0,36736
0,0,0,0,173,1632,1208,2656
19,2,1,0,173,1632,1208,2656
11,4,0,0,173,1632,1208,2656
0,0,0,0,173,1632,1208,2656
1,0,0,0,173,1632,1208,2656
25,9,0,0,173,1632,1208,2656
3,0,0,0,173,1632,1208,2656
0,0,0,0,173,1632,1208,2656
1,4,0,0,173,1632,1208,2656
3,0,0,0,173,1632,1208,2656
13,0,2,1,12679,4390,6265,10604
16,0,0,1,12679,4390,6265,10604
20,0,2,1,12679,4390,6265,10604
14,4,4,1,12679,4390,6265,10604
20,0,0,1,12679,4390,6265,10604
20,2,2,1,12679,4390,6265,10604
9,2,1,1,12679,4390,6265,10604
18,1,2,1,12679,4390,6265,10604
14,0,5,1,12679,4390,6265,10604
20,3,4,1,12679,4390,6265,10604
17,0,4,1,3,178,677,213
18,5,0,1,3,178,677,213
11,0,0,1,3,178,677,213
3,0,5,1,3,178,677,213
15,0,3,1,3,178,677,213
7,0,8,1,3,178,677,213
15,0,6,1,3,178,677,213
3,0,0,1,3,178,677,213
5,5,2,1,3,178,677,213
5,2,2,1,3,178,677,213
12,0,0,1,250,503,8679,4110
25,8,0,1,250,503,8679,4110
1,0,0,1,250,503,8679,4110
14,0,0,1,250,503,8679,4110
4,0,0,1,250,503,8679,4110
2,0,0,1,250,503,8679,4110
8,0,0,1,250,503,8679,4110
16,0,0,1,250,503,8679,4110
1,0,0,1,250,503,8679,4110
1,0,1,1,250,503,8679,4110
19,3,5,1,164,0,169,8323
18,3,4,1,164,0,169,8323
14,3,5,1,164,0,169,8323
23,3,2,1,164,0,169,8323
18,3,2,1,164,0,169,8323
6,0,1,1,164,0,169,8323
6,0,1,1,164,0,169,8323
23,3,0,1,164,0,169,8323
20,3,2,1,164,0,169,8323
17,0,1,1,164,0,169,8323
1,7,7,1,9567,1928,114785,101405
1,7,7,1,9567,1928,114785,101405
1,7,7,1,9567,1928,114785,101405
1,7,7,1,9567,1928,114785,101405
1,7,8,1,9567,1928,114785,101405
1,7,7,1,9567,1928,114785,101405
1,7,8,1,9567,1928,114785,101405
1,7,7,1,9567,1928,114785,101405
1,7,7,1,9567,1928,114785,101405
1,7,7,1,9567,1928,114785,101405
1,7,7,1,9567,1928,114785,101405
1,7,7,1,9567,1928,114785,101405
1,7,7,1,9567,1928,114785,101405
1,7,7,1,9567,1928,114785,101405
1,7,8,1,9567,1928,114785,101405
1,7,7,1,9567,1928,114785,101405
1,7,8,1,9567,1928,114785,101405
1,7,7,1,9567,1928,114785,101405
1,7,7,1,9567,1928,114785,101405
1,7,7,1,9567,1928,114785,101405
1,7,7,1,9567,1928,114785,101405
1,7,7,1,9567,1928,114785,101405
1,7,7,1,9567,1928,114785,101405
1,7,7,1,9567,1928,114785,101405
1,7,8,1,9567,1928,114785,101405
1,7,7,1,9567,1928,114785,101405
1,7,8,1,9567,1928,114785,101405
1,7,7,1,9567,1928,114785,101405
1,7,7,1,9567,1928,114785,101405
1,7,7,1,9567,1928,114785,101405
1,7,7,1,9567,1928,114785,101405
1,7,7,1,9567,1928,114785,101405
1,7,7,1,9567,1928,114785,101405
1,7,7,1,9567,1928,114785,101405
1,7,8,1,9567,1928,114785,101405
1,7,7,1,9567,1928,114785,101405
1,7,8,1,9567,1928,114785,101405
1,7,7,1,9567,1928,114785,101405
1,7,7,1,9567,1928,114785,101405
1,7,7,1,9567,1928,114785,101405
1,7,7,1,9567,1928,114785,101405
1,7,7,1,9567,1928,114785,101405
1,7,7,1,9567,1928,114785,101405
1,7,7,1,9567,1928,114785,101405
1,7,8,1,9567,1928,114785,101405
1,7,7,1,9567,1928,114785,101405
1,7,8,1,9567,1928,114785,101405
1,7,7,1,9567,1928,114785,101405
1,7,7,1,9567,1928,114785,101405
1,7,7,1,9567,1928,114785,101405
16,0,2,0,16651,128,1722,26027
16,0,2,0,16651,128,1722,26027
6,0,2,0,16651,128,1722,26027
16,0,1,0,16651,128,1722,26027
24,2,0,0,16651,128,1722,26027
18,0,4,0,16651,128,1722,26027
14,0,6,0,16651,128,1722,26027
4,0,0,0,16651,128,1722,26027
8,0,6,0,16651,128,1722,26027
1,0,0,0,16651,128,1722,26027
4,0,0,1,235,264,2865,6105
2,0,0,1,235,264,2865,6105
21,0,0,1,235,264,2865,6105
11,0,0,1,235,264,2865,6105
21,0,0,1,235,264,2865,6105
2,0,0,1,235,264,2865,6105
26,0,0,1,235,264,2865,6105
22,0,0,1,235,264,2865,6105
15,0,0,1,235,264,2865,6105
23,0,0,1,235,264,2865,6105
18,0,1,1,106,323,131,488
11,0,2,1,106,323,131,488
11,0,4,1,106,323,131,488
11,0,1,1,106,323,131,488
18,0,2,1,106,323,131,488
12,0,1,1,106,323,131,488
7,0,1,1,106,323,131,488
6,0,1,1,106,323,131,488
8,0,1,1,106,323,131,488
22,0,1,1,106,323,131,488
5,0,0,0,8,225,6,8
0,9,2,0,8,225,6,8
0,6,2,0,8,225,6,8
0,4,2,0,8,225,6,8
8,0,0,0,8,225,6,8
7,0,0,0,8,225,6,8
7,0,1,0,8,225,6,8
9,0,0,0,8,225,6,8
22,0,5,0,2996,1515,51,6927
6,0,0,0,2996,1515,51,6927
27,2,0,0,2996,1515,51,6927
24,0,2,0,2996,1515,51,6927
19,0,3,0,2996,1515,51,6927
16,0,5,0,2996,1515,51,6927
8,0,1,0,2996,1515,51,6927
22,0,5,0,2996,1515,51,6927
8,0,2,0,2996,1515,51,6927
15,0,3,0,2996,1515,51,6927
2,0,0,1,188,692,305,3827
1,0,0,1,188,692,305,3827
2,0,0,1,188,692,305,3827
2,2,0,1,188,692,305,3827
8,0,0,1,188,692,305,3827
2,0,0,1,188,692,305,3827
4,0,0,1,188,692,305,3827
21,0,0,1,188,692,305,3827
5,0,0,1,188,692,305,3827
7,2,1,1,188,692,305,3827
0,8,0,0,73,145,3702,1751
0,0,0,0,73,145,3702,1751
3,2,0,0,73,145,3702,1751
5,0,3,0,73,145,3702,1751
8,0,0,0,73,145,3702,1751
0,2,0,0,73,145,3702,1751
2,0,0,0,73,145,3702,1751
17,0,2,0,73,145,3702,1751
0,5,0,0,73,145,3702,1751
5,0,0,0,73,145,3702,1751
1,2,0,1,127,317,391,2682
22,0,1,1,127,317,391,2682
0,0,0,1,127,317,391,2682
13,0,0,1,127,317,391,2682
12,0,1,1,127,317,391,2682
3,0,0,1,127,317,391,2682
3,4,0,1,127,317,391,2682
0,0,0,1,127,317,391,2682
7,0,1,1,127,317,391,2682
14,0,2,1,127,317,391,2682
13,6,2,1,530,663,1799,1097
5,11,2,1,530,663,1799,1097
2,2,2,1,530,663,1799,1097
15,2,2,1,530,663,1799,1097
2,3,0,1,530,663,1799,1097
16,1,2,1,530,663,1799,1097
15,4,3,1,530,663,1799,1097
6,4,1,1,530,663,1799,1097
22,6,2,1,530,663,1799,1097
7,0,2,1,530,663,1799,1097
8,1,2,0,31,67,200,106
15,0,0,0,31,67,200,106
18,0,0,0,31,67,200,106
2,0,0,0,31,67,200,106
3,0,0,0,31,67,200,106
19,4,0,0,31,67,200,106
7,0,2,0,31,67,200,106
11,0,2,0,31,67,200,106
