_id,username,name,followers_count,friends_count,favourites_count,statuses_count,after_name,gender,gender_accuracy
5ec97d6645aa29c1ab606db3,jesuslvg,Jesustrato,317,427,11868,20436
5ec97d6645aa29c1ab606db4,BC__Innovate,Black Country Innovate,1269,4239,20946,13359
5ec97d6745aa29c1ab606db5,Msnisi09,Denise,14,101,80,27,denise,female,98
5ec97d6845aa29c1ab606db6,footienut247,leighton mcguinness,33,339,3193,3144,leighton,male,92
5ec97d6845aa29c1ab606db7,Stallion_Team2,Frankie,155710,155467,148140,333710,frankie,male,80
5ec97d6945aa29c1ab606db8,Tech_Tee_Shop,👽Tech Lover 🇺🇸 🇨🇦 🇦🇺 🇪🇺 🇯🇵,7541,4528,12548,4155,tech,male,92
5ec97d6945aa29c1ab606db9,ClimateChangePa,Climate Change Party,1880,2056,0,36026
5ec97d6a45aa29c1ab606dba,hanibear93,Hani is a zombie🌼,1115,1264,16995,19542,hani,male,84
5ec97d6b45aa29c1ab606dbb,2905jimjamy,Jamie Yarnold 🔰,173,1628,1197,2632,jamie,male,62
5ec97d6b45aa29c1ab606dbc,firstsite,Firstsite Colchester,12674,4391,6251,10598,colchester,male,100
5ec97d6c45aa29c1ab606dbd,naimahmah,IG: @naimahmah,468,250,141,15629,ig,male,85
5ec97d6d45aa29c1ab606dbe,alxiba_afsana,Alxiba Afsan,3,179,633,201
5ec97d6d45aa29c1ab606dbf,poupouch48,Vivi,19408,494,275514,296740,poupouch,female,75
5ec97d6e45aa29c1ab606dc0,chakaal28,Karen Lillywhite,249,502,8360,4094,karen,female,96
5ec97d6f45aa29c1ab606dc1,Archana93098503,Archana NM_MPYS,13,28,173,273,archana,female,98
5ec97d6f45aa29c1ab606dc2,akotopam,Akotopam News 🇿🇦,164,0,167,8279
5ec97d7045aa29c1ab606dc3,DulceMarLoynaz,Dulce Maria Loynaz,328,251,23134,17771,dulce,female,98
5ec97d7145aa29c1ab606dc4,PolishRoyalGoat,Ana and her Goat,9570,1928,114003,100834,ana,female,97
5ec97d7145aa29c1ab606dc5,Jhx09181424,RojoYBlanco,60,78,7175,946
5ec97d7245aa29c1ab606dc6,U2_News,U2News,16656,128,1722,26018
5ec97d7345aa29c1ab606dc7,PolishRoyalGoat,Ana and her Goat,9570,1928,114003,100834
5ec97d7445aa29c1ab606dc8,stevelwpalmer,stephen palmer,233,261,2567,5730,stephen,male,99
5ec97d7445aa29c1ab606dc9,PolishRoyalGoat,Ana and her Goat,9570,1928,114003,100834,ana,female,97
5ec97d7545aa29c1ab606dca,ChoicePremiums,Choice Premiums,106,323,131,4,ana,female,97
5ec97d7645aa29c1ab606dcb,PolishRoyalGoat,Ana and her Goat,9570,1928,114003,100834,ana,female,97
5ec97d7645aa29c1ab606dcc,UnknownTuber1,🇯🇵Unknown Tuber_PES⚽️,8,225,6,8
5ec97d7745aa29c1ab606dcd,PolishRoyalGoat,Ana and her Goat,9570,1928,114003,100834,ana,female,97
5ec97d7745aa29c1ab606dce,LongwoodsNotes,LongwoodsNotes,2993,1513,51,6893
5ec97d7845aa29c1ab606dcf,srt8982,shawny.boy the.cool.guy,189,692,305,3820,srt,male,79
5ec97d7945aa29c1ab606dd0,kana_surfergirl,miamia0614,73,141,3689,1740,miamia,female,93
5ec97d7945aa29c1ab606dd1,nazifidawud,#ComradeDnZ,127,318,386,2680
5ec97d7a45aa29c1ab606dd2,glennlokesh32,Lokesh Waran,91,517,39704,17971,lokesh,male,100
5ec97d7a45aa29c1ab606dd3,IVMBRXNLXYJ,x æ a-12,126,111,25344,32184
5ec97d7b45aa29c1ab606dd4,JuveAcademyScot,Juventus Academy Scotland,529,663,1783,1091,juventus,male,95
5ec97d7c45aa29c1ab606dd5,imstrawbella,Eleonora Uriati,31,64,172,99,eleonora,female,99
5ec97d7c45aa29c1ab606dd6,TempleD87626452,Temple Davis,0,0,0,1,temple,female,100
5ec97d7d45aa29c1ab606dd7,Buzzfm897,Buzzfm89.7,1644,308,657,25909
5ec97d7e45aa29c1ab606dd8,paulalameda,Paul Vincent Alameda,162,96,32,444,paul,male,99
5ec97d7e45aa29c1ab606dd9,Triteflower2020,Jo,218,328,6673,40880,jo,male,60
5ec97d7f45aa29c1ab606dda,ObiCheChe1,Che-Che,358,1044,23847,5923,che,male,71
5ec97d7f45aa29c1ab606ddb,spaincultureus,SPAIN arts & culture,152288,1230,4839,5901,spain,male,83
5ec97d8045aa29c1ab606ddc,fvsu_dining,FVSU Dining Services,497,676,16,3411
5ec97d8145aa29c1ab606ddd,YunierViada,Yunier Viada,271,292,4460,11567,yunier,male,98
5ec97d8245aa29c1ab606dde,BussienJill,Jill Bussien,78,433,5568,10041,jill,female,97
5ec97d8345aa29c1ab606ddf,bsudipta05x,Sam Zoldyck,913,2205,7146,220546,sam,male,85
5ec97d8445aa29c1ab606de0,bakagamiii,rissa•̀.̫•́✧,623,660,9349,10033,rissa,female,94
5ec97d8545aa29c1ab606de1,SFZombie247,Lovinsf ᴹᵃᶦⁿᵉ,1149,1002,39608,163397
5ec97d8645aa29c1ab606de2,Heavenlybot,Heavenlybot ✺,7387,5929,209393,51098
5ec97d8745aa29c1ab606de3,FloVilleminot,Florence Villeminot,6318,495,2823,1334,florence,female,97
5ec97d8845aa29c1ab606de4,KelliherNHS,HistoryClass,77,194,430,192
5ec97d8845aa29c1ab606de5,Warwickshire_CC,Warwickshire CC #StayAlertToStaySafe,14577,835,2146,25369,cc,male,55
5ec97d8945aa29c1ab606de6,UKtoUSmomma,Stayathome,317,669,24141,9459
5ec97d8a45aa29c1ab606de7,bitrix24,Bitrix24,4404,678,1012,6772,bitrix,female,67
5ec97d8a45aa29c1ab606de8,SPJffrson,Saml Patrck Jffrson,85,113,251,13788,saml,male,92
5ec97d8b45aa29c1ab606de9,paragingle_GGMU,Parag Ingle,324,463,26165,49597,parag,male,100
5ec97d8c45aa29c1ab606dea,MaridelManaloXx,m a r i d e l,627,193,13317,91417
5ec97d8d45aa29c1ab606deb,dromedarshop,DromedarShop.com,21,100,18,24772,com,male,79
5ec97d8d45aa29c1ab606dec,thecricketmen,TheCricketMen,439,381,744,2591
5ec97d8e45aa29c1ab606ded,Andrew_Ryan19,Andrew Ryan,101,639,139,1759,andrew,male,99
5ec97d8f45aa29c1ab606dee,GabrielConstans,Gabriel Constans,22053,22060,29748,23781,gabriel,male,99
5ec97d8f45aa29c1ab606def,MrJaijo,Jai Taylor,276,848,1098,1428,jai,male,91
5ec97d9045aa29c1ab606df0,hsingh212_,BLACKLISTED,58,378,17538,3156,blacklisted,male,100
5ec97d9145aa29c1ab606df1,Cyrenians1968,Cyrenians,7573,4898,6405,10762
5ec97d9145aa29c1ab606df2,BirgittaDE2,BirgittaDE 🎗 🌹#ForeignFriendsOfCatalonia,311,301,65413,39125
5ec97d9245aa29c1ab606df3,cyclocrossjake,Jake ™,492,524,15166,4935,jake,male,98
5ec97d9345aa29c1ab606df4,Buzzfm897,Buzzfm89.7,1644,308,657,25909,andrew,male,99
5ec97d9345aa29c1ab606df5,AndrewMannUK,Andrew Mannering,68,164,3808,1841
5ec97d9445aa29c1ab606df6,BIGDADDYC0OL,Galang☭,283,1365,41640,18493,galang,male,97
5ec97d9445aa29c1ab606df7,Faris2011ksa,Faris2011ksa 🇸🇦,669,296,16432,13079
5ec97d9545aa29c1ab606df8,pankapitaa,Kor,1,83,1381,764,kor,male,88
5ec97d9645aa29c1ab606df9,legendarysauce2,LLCARAJ❤️,291,263,3665,11649
