,tweet,emojis,hashtags,followers,likes,hour_sin,hour_cos,day_sin,day_cos,negative,positive
0,"['look', 'happen', 'next', 'week', 'rhyme', 'time', 'story', 'time', 'casebook', 'topic', 'ponder', 'book', 'review', 'regular', 'blow', 'update']",[],3,14504,small,0.3984010898462418,-0.9172113015054528,-0.8660254037844385,-0.5000000000000004,1,0
1,"['stream', 'check', 'yes', 'cute', 'shawn', 'one', 'light', 'moment', 'film', 'look', 'cute', 'ever', 'watch', 'link']",[],2,21807,small,-2.4492935982947064e-16,1.0,1.2246467991473532e-16,-1.0,1,0
2,"['definitely', 'dream', 'get', 'ready', 'get', 'back', 'ice', 'dreaming']","['skate', 'ice']",4,400,small,-0.2697967711570244,0.9629172873477992,0.8660254037844386,0.5000000000000001,1,0
3,"['get', 'work', 'format', 'read', 'perfect', 'look', 'something', 'pas']",[],10,15161,medium,-0.8878852184023751,0.46006503773115237,0.8660254037844387,-0.4999999999999998,1,0
4,"['gratitude', 'fear', 'anxiety', 'hope', 'late', 'blow', 'inclusion', 'diversity', 'say', 'felt', 'share', 'plan', 'cope', 'read']","['right', 'arrow']",3,73,small,-0.9976687691905392,-0.06824241336467135,1.2246467991473532e-16,-1.0,1,0
5,"['despite', 'awful', 'period', 'wherever', 'around', 'world', 'wish', 'everyone', 'safe', 'new', 'month', 'take', 'care', 'twitterworld']","['folded', 'Americas', 'Asia-Australia', 'face', 'mask', 'clover', 'blossom', 'four', 'globe', 'Europe-Africa', 'with', 'hands', 'medical', 'cherry', 'showing', 'leaf']",4,54977,high,0.13616664909624665,-0.9906859460363308,0.8660254037844387,-0.4999999999999998,1,0
6,"['despite', 'anxious', 'period', 'wish', 'nice', 'safe', 'week', 'cat', 'discovers', 'bubble', 'gorgeousgeorgieous', 'via', 'incur']","['hearts', 'prints', 'tulip', 'face', 'mask', 'clover', 'four', 'video', 'camera', 'smiling', 'with', 'paw', 'medical', 'shamrock', 'revolving', 'leaf']",3,54977,high,0.13616664909624665,-0.9906859460363308,0.0,1.0,0,1
7,"['order', 'order', 'start', 'tonight']",[],1,7817,small,-0.9422609221188204,-0.3348796121709864,1.2246467991473532e-16,-1.0,1,0
8,"['john', 'family', 'miss', 'race', 'silverstone', 'make', 'race', 'home', 'seem', 'upturned', 'car', 'village', 'crowd', 'wild', 'neck', 'neck', 'around', 'stowe', 'vale']","['chequered', 'face', 'raising', 'flag', 'screaming', 'in', 'fear', 'hands']",1,246,medium,0.8169698930104421,-0.5766803221148671,0.8660254037844386,0.5000000000000001,0,1
9,"['stupid', 'great', 'time', 'draw', 'please', 'stay', 'safe', 'home']",[],15,12,medium,-0.2697967711570244,0.9629172873477992,1.2246467991473532e-16,-1.0,1,0
10,"['new', 'release', 'feat', 'katana']",[],7,170920,high,0.2697967711570243,0.9629172873477994,0.0,1.0,1,0
11,"['enjoy', 'relax', 'home']",['bird'],2,15162,high,0.3984010898462418,-0.9172113015054528,-2.4492935982947064e-16,1.0,1,0
12,"['keep', 'paw', 'clean', 'mochithecatto']","['prints', 'house', 'video', 'camera', 'paw']",2,15162,high,-0.9976687691905392,-0.06824241336467135,-0.8660254037844386,0.5000000000000001,1,0
13,"['two', 'important', 'requisite', 'right', 'fingertip', 'still', 'feel', 'sick', 'tire', 'folk', 'pls', 'needful', 'entertain']","['eyes', 'prints', 'party', 'face', 'cat', 'kissing', 'heart-eyes', 'closed', 'popper', 'with', 'balloon', 'smiling', 'paw', 'grinning', 'sleeping']",2,91197,high,0.9422609221188205,-0.33487961217098616,-0.8660254037844386,0.5000000000000001,0,1
14,"['soothingly', 'enough', 'find', 'idyllic', 'picture', 'today', 'min', 'walk', 'home', 'may', 'assist', 'even', 'sleepless', 'night']","['sheep', 'eyes', 'folded', 'prints', 'star', 'face', 'ram', 'cat', 'kissing', 'heart-eyes', 'glowing', 'closed', 'hands', 'with', 'balloon', 'smiling', 'paw', 'grinning']",1,91197,high,-0.9422609221188204,-0.3348796121709864,0.8660254037844387,-0.4999999999999998,0,1
15,"['fundraise', 'sara', 'scotland', 'check', 'page', 'please', 'donate', 'thank']",[],4,102,small,0.6310879443260526,-0.7757112907044199,0.0,1.0,0,1
16,"['despite', 'awful', 'period', 'wherever', 'around', 'world', 'wish', 'everyone', 'safe', 'new', 'month', 'take', 'care', 'twitterworld']","['folded', 'Americas', 'Asia-Australia', 'face', 'mask', 'clover', 'blossom', 'four', 'globe', 'Europe-Africa', 'with', 'hands', 'medical', 'cherry', 'showing', 'leaf']",4,4931,high,0.13616664909624665,-0.9906859460363308,0.8660254037844387,-0.4999999999999998,1,0
17,"['allkeyshop', 'smart', 'shopping', 'game']",[],7,18,medium,-0.816969893010442,-0.5766803221148672,-0.8660254037844386,0.5000000000000001,0,1
18,"['allkeyshop', 'smart', 'shopping', 'game']",[],7,2320,medium,-0.816969893010442,-0.5766803221148672,-0.8660254037844386,0.5000000000000001,0,1
19,"['time', 'fly', 'baby', 'collection', 'korea', 'apr', 'line', 'friend', 'online', 'store', 'global', 'apr', 'pdt', 'line', 'friends', 'collection']",[],8,0,high,0.5195839500354336,0.8544194045464886,-0.8660254037844385,-0.5000000000000004,1,0
20,"['two', 'important', 'requisite', 'right', 'fingertip', 'still', 'feel', 'sick', 'tire', 'folk', 'pls', 'needful', 'entertain']","['eyes', 'prints', 'party', 'face', 'cat', 'kissing', 'heart-eyes', 'closed', 'popper', 'with', 'balloon', 'smiling', 'paw', 'grinning', 'sleeping']",2,4284,high,0.9422609221188205,-0.33487961217098616,-0.8660254037844386,0.5000000000000001,0,1
21,"['soothingly', 'enough', 'find', 'idyllic', 'picture', 'today', 'min', 'walk', 'home', 'may', 'assist', 'even', 'sleepless', 'night']","['sheep', 'eyes', 'folded', 'prints', 'star', 'face', 'ram', 'cat', 'kissing', 'heart-eyes', 'glowing', 'closed', 'hands', 'with', 'balloon', 'smiling', 'paw', 'grinning']",1,4284,high,-0.9422609221188204,-0.3348796121709864,0.8660254037844387,-0.4999999999999998,0,1
22,"['sydney', 'dome', 'version', 'feature', 'follow', 'powerful', 'woman', 'enjoy', 'stay', 'safe']",[],3,4806,small,0.9790840876823228,0.20345601305263397,-0.8660254037844386,0.5000000000000001,1,0
23,"['fantastic', 'lovely', 'surprise', 'royal', 'infirmary', 'morning', 'courtesy', 'read', 'safe']",[],7,19,medium,0.6310879443260526,-0.7757112907044199,-0.8660254037844385,-0.5000000000000004,1,0
24,"['challenge', 'day', 'keep', 'work', 'hard', 'matter']",[],2,4,medium,-0.9422609221188204,-0.3348796121709864,0.0,1.0,0,1
25,"['present', 'people', 'urge', 'wherever', 'possible', 'well', 'understanding', 'date', 'mean', 'help', 'ensure', 'food', 'buy', 'last', 'long', 'possible', 'cut', 'shopping', 'trip', 'reduce', 'avoid', 'foodborne', 'illness']","['label', 'wastebasket']",3,12,small,0.3984010898462418,-0.9172113015054528,1.2246467991473532e-16,-1.0,1,0
26,"['medium', 'report', 'often', 'ppe', 'available', 'report', 'stock']",[],17,4366,small,0.8169698930104421,-0.5766803221148671,-2.4492935982947064e-16,1.0,1,0
27,"['news', 'today', 'launch', 'landmark', 'new', 'project', 'understand', 'impact', 'community', 'find', 'take', 'part', 'today']",['loudspeaker'],6,1156,medium,0.9422609221188205,-0.33487961217098616,0.8660254037844386,0.5000000000000001,1,0
28,"['hand', 'sanitize', 'work', 'everywhere', 'sterilise', 'saturday', 'nite', 'snap', 'join', 'get', 'add']","['skin', 'heart', 'peach', 'medium', 'face', 'mask', 'red', 'tone', 'with', 'medical']",10,213,high,-0.8878852184023751,0.46006503773115237,-0.8660254037844385,-0.5000000000000004,1,0
29,"['thank', 'youuuu', 'lovely', 'day', 'friend']","['Asia-Australia', 'ribbon', 'coaster', 'with', 'phone', 'shooting', 'bars', 'house', 'suit', 'showing', 'folded', 'letter', 'roller', 'love', 'star', 'heart', 'mobile', 'off', 'hands', 'globe', 'antenna', 'garden']",2,2340,medium,0.6310879443260526,-0.7757112907044199,-2.4492935982947064e-16,1.0,0,1
30,"['right', 'thing', 'fam', 'mtvbase']",[],3,73,small,-0.9790840876823228,0.20345601305263417,-0.8660254037844385,-0.5000000000000004,1,0
31,"['today', 'mom', 'work', 'day', 'help', 'grandma', 'fold', 'laundry', 'help', 'human']",[],3,393,small,-2.4492935982947064e-16,1.0,1.2246467991473532e-16,-1.0,0,1
32,"['dear', 'sweet', 'friend', 'silvia', 'with', 'speedy', 'recovery', 'take', 'care', 'keep', 'positive', 'miss', 'love', 'lot']",['✿'],2,3785,high,-0.9790840876823228,0.20345601305263417,0.0,1.0,0,1
33,"['love', 'flower', 'pick', 'pick', 'die', 'cease', 'love', 'love', 'flower', 'let', 'love', 'possession', 'love', 'appreciation', 'soho']","['fluttering', 'pushpin', 'in', 'wind', 'rose', 'leaf']",2,3785,medium,-0.1361666490962464,-0.9906859460363308,1.2246467991473532e-16,-1.0,0,1
