,tweets,sentiment
0,"['worry', 'payment', 'problem', 'may', 'never', 'joyce', 'meyer']",1
1,"['whatever', 'decide', 'make', 'sure', 'make']",1
2,"['also', 'help', 'majority', 'nfl', 'coach', 'inept', 'bill', 'brien', 'play', 'call', 'wow']",1
3,"['accept', 'challenge', 'literally', 'even', 'feel', 'exhilaration', 'victory', 'george', 'patton', 'dog', 'face']",1
4,"['roommate', 'okay', 'spell', 'autocorrect']",0
5,"['cute', 'tsu', 'probably', 'shy', 'photo', 'cherry', 'help']",0
6,"['think', 'human', 'sense', 'recognize', 'impending', 'doom']",0
7,"['rooney', 'fuck', 'untouchable', 'fuck', 'dreadful', 'delay', 'look', 'decent', 'ish', 'tonight']",0
8,"['pretty', 'depress', 'hit', 'pan', 'favourite', 'highlighter']",0
9,"['pussy', 'weak', 'heard', 'stu', 'bitch', 'get', 'threaten', 'pregnant']",0
10,"['make', 'yearly', 'transition', 'excite', 'hopeful', 'college', 'returner', 'sick', 'exhaust', 'pessimist']",0
11,"['hard', 'dance', 'devil', 'back', 'shake']",0
12,"['tiller', 'breezy', 'collar', 'album', 'rap', 'sing', 'polly', 'fire']",0
13,"['girl', 'hit', 'car', 'get', 'lucky', 'scratch', 'also', 'spar', 'wrath', 'sleep', 'deprive', 'wait', 'face', 'upside-down']",0
14,"['broadband', 'shock', 'regret', 'signing']",0
15,"['people', 'need', 'look', 'definition', 'protest', 'protesting', 'call', 'vandalism']",0
16,"['look', 'beef']",0
17,"['star', 'trek', 'online', 'update', 'download', 'fume', 'yay']",0
18,"['bitter', 'battle', 'sweeter', 'victory']",1
19,"['cant', 'stop', 'finish', 'deject', 'luckily', 'one', 'bathroom', 'stall', 'wait', 'pant', 'dry']",0
20,"['usa', 'embarrass', 'watch', 'last', 'time', 'guy', 'game']",0
21,"['several', 'indian', 'activist', 'hold', 'demonstration', 'outside', 'headquarters', 'demand', 'pak', 'stop', 'eating', 'india']",0
22,"['awareness', 'time', 'awareness', 'time', 'lose']",1
23,"['glee', 'fill', 'norm', 'dry', 'hump', 'recent', 'high', 'profile', 'celebrity', 'break', 'pathetic', 'wrong', 'world', 'today']",0
24,"['guy', 'see', 'next', 'video', 'fuck', 'horrid']",0
